id,comment_text,threat
003217c3eb469ba9,"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",1
006b94add72ed61c,I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1
0199d6af27b715f3,"I'm also a sock puppet of this account...SUPRISE!!
-sincerely,
            The man that will track you down from the Internet and kill you",1
02230885017a50c5,"Fuck you, Smith. Please have me notified when you die. I want to dance on your grave.",1
02c6e41e4b317ac3,"WOULDN'T BE THE FIRST TIME BITCH. FUCK YOU I'LL FIND OUT WHERE YOU LIVE, SODOMIZE YOUR WIFE AND THEN BURN YOUR HOUSE DOWN. FUCK YOU YOU FUCKING QUEER.",1
02f77830b4d71c0f,Whoever put a notices on my page. I will kill u,1
039296aa294ee10b,"SHUT UP, YOU FAT POOP, OR I WILL KICK YOUR ASS!!!",1
0420f5f4e950566b,"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker muthafucker. Fuck u u racist bitch. I hope u die.",1
0512f33cf8807fa2,"Aaron Swartz 

Stop fucking reverting my goddamn edits!!! I think Aaron Swartz is a dumb-ass, and he should have been
killed a long time ago.  I know where you live; I WILL KILL YOU IF YOU REVERT ANY MORE PAGES!!!!!",1
057894cf4738a5d8,You are a gay homo. I hope you choke on your penis and die. I am sending a big bleck guy to jizz in your face.,1
06611b9bcca6dfd3,"Go kill yourself 

You should be ashamed of yourself. Twoofers like you are scumbags that deserve to die. You anti-scientific assholes are destroying America.",1
069f7c2315031b40,"important 

you and your family shall burn! you have been warned, if you do troll muzemikes talk page i will slaughter you in your sleep. bye...",1
07cec10ca35fe5f8,"go to  die 

son of  bich",1
07e0346aeda107bd,"WHAT'S WRONG WITH YOU?
GO KILL YOURSELF, YOU VILE CREATURE!!!!!!!!!!!",1
082dbb113b6db6ab,"mothafucka! 

You son of a bitch, shup up!

otherwise I will kill you!",1
09eb7d87b8c24ca5,"Please stop. If you continue to ignore our policies by introducing inappropriate pages to Wikipedia, you will be blocked.",1
0a61094152de467f,"Last warning, Mark! Anymore defiant arguments and I will be subduing you with my merciless wrath!",1
